"","movieCd","movieNm","dom_or_for","nation","genre","reopen","year","month","date","openDt","salesAmt","salesPeak","salesTotal","audiCnt","audiPeak","audiTotal","showCnt","sales_per_show","audi_per_show","show_per_scrn","sales_over10b","audi_over5m"
"25","20176442","자전차왕 엄복동","국내","한국","드라마","초개봉",2019,3,2019-03-03,2019-02-27,173183960,295987110,1253020790,20748,35351,165532,1256,137885.318471338,16.5191082802548,2.21516754850088,"under",FALSE
"26","20195743","신데렐라:마법 반지의 비밀","해외","미국","애니메이션","초개봉",2019,3,2019-03-03,2019-02-20,118815830,208996810,2090550630,15065,26834,281705,697,170467.474892396,21.6140602582496,1.58049886621315,"under",FALSE
"27","20186261","드래곤 길들이기 3","해외","미국","애니메이션","초개봉",2019,3,2019-03-03,2019-01-30,73008300,113203950,12277016306,9099,14474,1498759,280,260743.928571429,32.4964285714286,1.33971291866029,"over",FALSE
"28","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-03,2019-02-21,79146850,116226950,1179520730,8911,13111,140675,255,310379.803921569,34.9450980392157,2.125,"under",FALSE
"29","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-03,2019-01-09,71960810,93878724,3689881360,8146,10469,441993,207,347636.763285024,39.3526570048309,1.39864864864865,"under",FALSE
"30","20195791","어쩌다, 결혼","국내","한국","멜로/로맨스","초개봉",2019,3,2019-03-03,2019-02-27,62432070,129530419,578566649,7342,14964,75603,768,81291.7578125,9.55989583333333,1.82422802850356,"under",FALSE
"31","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-04,2019-02-27,349631970,2195096671,9185709011,44117,262491,1141083,3877,90181.0600980139,11.3791591436678,4.3561797752809,"under",FALSE
"32","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-04,2019-02-20,306001570,1654706831,19978963414,37179,186751,2394285,3339,91644.6750524109,11.1347708894879,4.01322115384615,"over",FALSE
"33","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-04,2019-02-13,219982460,1272099600,20426848871,27595,148186,2527267,3005,73205.4775374376,9.18302828618968,3.56465005931198,"over",FALSE
"34","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-04,2019-01-23,218563760,1190333970,139565890466,26877,134879,16252575,2418,90390.306038048,11.1153846153846,3.94453507340946,"over",TRUE
